date,ensemble
2018-11-30,1023954.4362513572
2018-12-03,1034364.8843342046
2018-12-04,996153.1355736152
2018-12-06,988315.2421432752
2018-12-07,959277.9173881102
2018-12-10,955284.1417867232
2018-12-11,956806.9559277812
2018-12-12,965359.6461159488
2018-12-13,958839.6463081216
2018-12-14,943285.212514203
2018-12-17,930708.7270693256
2018-12-18,927883.196856617
2018-12-19,907755.738549472
2018-12-20,893272.8317185583
2018-12-21,879111.974611869
2018-12-24,860077.0390857011
2018-12-26,898502.4523522626
2018-12-27,908517.0013155614
2018-12-28,906044.5821285286
2018-12-31,914117.0825587492
2019-01-02,901035.7319444
2019-01-03,875652.994757968
2019-01-04,903103.6767131034
2019-01-07,909140.2453039696
2019-01-08,920294.946588502
2019-01-09,926457.4192826024
2019-01-10,935015.532305068
2019-01-11,937074.8787408058
2019-01-14,931923.359011138
2019-01-15,947456.0818324224
2019-01-16,946805.3315066912
2019-01-17,961722.2709018784
2019-01-18,975700.6076796114
2019-01-22,968068.285636988
2019-01-23,968958.8545735322
2019-01-24,966777.3082253
2019-01-25,976206.5820833608
2019-01-28,971681.4946016103
2019-01-29,973610.8016115018
2019-01-30,981395.4553422624
2019-01-31,986821.0090325796
2019-02-01,987298.9613067686
2019-02-04,1001691.542409092
2019-02-05,1007834.992069794
2019-02-06,1007934.6771735612
2019-02-07,1004270.1472960206
2019-02-08,1005172.2144192508
2019-02-11,1009794.3513077166
2019-02-12,1025833.2282244656
2019-02-13,1027052.4327718022
2019-02-14,1025591.4097186195
2019-02-15,1035525.0572585192
2019-02-19,1037499.477504802
2019-02-20,1037081.826274439
2019-02-21,1034204.6255740502
2019-02-22,1046807.9437184955
2019-02-25,1045001.3789139044
2019-02-26,1040737.53622007
2019-02-27,1043814.0457188694
2019-02-28,1039121.8106655608
2019-03-01,1053898.9948591625
2019-03-04,1047072.10213787
2019-03-05,1041702.2554702684
2019-03-06,1032142.6223401892
2019-03-07,1023083.61126775
2019-03-08,1019279.0064614888
2019-03-11,1032627.4862691632
2019-03-12,1036549.4836712762
2019-03-13,1044436.3160366232
2019-03-14,1044398.455652428
2019-03-15,1046731.2283741076
2019-03-18,1049965.2337943786
2019-03-19,1049831.1823095372
2019-03-20,1045061.2348991616
2019-03-21,1064256.984159293
2019-03-22,1039781.5730928978
2019-03-25,1038120.51173786
2019-03-26,1042562.5448757042
2019-03-27,1039016.446579472
2019-03-28,1048114.6910928616
2019-03-29,1058622.889534014
2019-04-01,1074629.4596569675
2019-04-02,1073466.3736250403
2019-04-03,1076329.7744235748
2019-04-04,1078979.0440807098
2019-04-05,1085075.6224324177
