date,ensemble,gspc
2019-09-18,1132835.322142847,1136893.188647284
2019-09-19,1132561.0624641972,1136915.8977720132
2019-09-20,1132996.2054175292,1131350.0390024602
2019-09-23,1133302.5633707717,1131240.3705464497
2019-09-24,1127354.9083897793,1121719.4315333737
2019-09-25,1131292.436795314,1128627.621126871
2019-09-26,1132245.0825869075,1125886.278980674
2019-09-27,1123924.8582656872,1119900.6706576878
2019-09-30,1131214.4269772484,1125553.4887585216
2019-10-01,1113746.5352851746,1111756.0338421345
2019-10-02,1103780.045414571,1091852.0398979012
2019-10-03,1112017.4393736164,1100556.1889288402
2019-10-04,1126437.3441493465,1116202.6835538857
2019-10-07,1122670.073042226,1111203.9990214768
2019-10-08,1104599.385337537,1093912.7544968221
2019-10-09,1116816.6726228574,1103872.2750204245
2019-10-10,1121745.905294618,1110954.3832764837
2019-10-11,1134088.9738598033,1123107.0882932616
2019-10-14,1130687.7033655406,1121549.2054114183
2019-10-15,1143363.15366385,1132714.9866376186
2019-10-16,1138595.476520753,1130450.0745431636
2019-10-17,1148667.9123537303,1133573.3177015781
2019-10-18,1148881.7058145762,1129130.4528439485
2019-10-21,1158007.8541643382,1136889.4037931622
2019-10-22,1148973.8131792308,1132832.2248018722
2019-10-23,1146095.3029978038,1136057.566708054
2019-10-24,1161722.8838388682,1138239.3043253499
2019-10-25,1162620.4321748973,1142875.0121161488
2019-10-28,1170167.8155977488,1149253.7837002026
2019-10-29,1171614.423496461,1148297.1387425975
2019-10-30,1175855.400337434,1152032.9743876152
2019-10-31,1170252.769478059,1148550.5393417124
2019-11-01,1179169.085853791,1159648.1931937246
2019-11-04,1176502.0629045726,1163943.6333676432
2019-11-05,1179112.2363397838,1162563.5463159985
2019-11-06,1186011.9832269908,1163380.2439846206
2019-11-07,1180829.881763673,1166556.382787222
2019-11-08,1185889.1025087596,1169543.5558242903
2019-11-11,1183045.0141870738,1167248.3648968628
2019-11-12,1184619.3441850902,1169074.6954807919
2019-11-13,1191098.4305422069,1169906.5325659004
2019-11-14,1195651.847500062,1170885.7943347194
2019-11-15,1210969.0294840098,1179896.331922475
2019-11-18,1205548.6740228892,1180490.0001384702
2019-11-19,1204950.7469026805,1179790.4483205862
2019-11-20,1194559.9839098216,1175358.9380253216
2019-11-21,1179396.07421515,1173498.6360678135
2019-11-22,1181047.6902162791,1176050.9201349623
2019-11-25,1191144.5674669505,1184879.8770383976
2019-11-26,1197914.4117815257,1187481.3642091271
2019-11-27,1203263.5847704173,1192438.4153461987
2019-11-29,1194422.3079530955,1187655.282871689
2019-12-02,1182612.7274324656,1177404.6055212712
2019-12-03,1175445.3415491343,1169588.881760234
2019-12-04,1194737.8983766795,1176984.855967838
2019-12-05,1196640.248710847,1178750.6288858221
2019-12-06,1205475.5710718394,1189519.3696833183
2019-12-09,1200485.218155122,1185757.1323729649
2019-12-10,1196409.937916017,1184456.434944358
2019-12-11,1203015.4825289012,1187901.0214490453
2019-12-12,1211021.7752458812,1198087.5409064265
2019-12-13,1208191.0897066356,1198174.5002377073
2019-12-16,1217394.147400117,1206738.7942931785
2019-12-17,1213563.7912485362,1207143.4044301256
2019-12-18,1211502.8412210704,1206621.5561289252
2019-12-19,1216294.596809602,1212002.233987067
2019-12-20,1224144.5743868111,1217995.3197047815
2019-12-23,1223182.922210908,1219050.2785560319
2019-12-24,1224224.522442079,1218812.0173734035
2019-12-26,1226173.1562273265,1225062.2885443543
2019-12-27,1225796.5233881236,1225103.9219396915
2019-12-30,1223087.7619249583,1218021.8136836323
2019-12-31,1228586.545471406,1221610.132331424
2020-01-02,1230488.605415559,1231845.7625788704
2020-01-03,1225668.4699480296,1223149.0909426594
2020-01-06,1221352.2341109898,1227470.932781914
2020-01-07,1218339.47956821,1224030.0388178332
2020-01-08,1225766.8321258156,1230030.7865573058
2020-01-09,1226573.4596684813,1238216.964454681
2020-01-10,1231339.568933185,1234681.6337645913
2020-01-13,1235831.193975078,1243295.0386101278
2020-01-14,1236272.3066452467,1241412.0275278902
2020-01-15,1237356.028179707,1243733.712434169
2020-01-16,1249258.0134363254,1254139.4764900554
2020-01-17,1249011.0933158249,1258983.1666305105
2020-01-21,1247854.4060779614,1255644.371414197
2020-01-22,1249535.22291371,1256007.3481558068
2020-01-23,1249037.866336079,1257440.4231651535
2020-01-24,1238999.055635855,1246070.4444434186
2020-01-27,1224446.170705607,1226468.86957485
2020-01-28,1231699.660468426,1238799.2781083116
2020-01-29,1232581.1723866009,1237725.394986453
2020-01-30,1230035.937842461,1241604.8704610597
2020-01-31,1205549.674447495,1219621.2376472978
2020-02-03,1211730.7208775145,1228469.118821341
2020-02-04,1242302.9152733877,1246872.0950090697
2020-02-05,1252948.88179174,1260900.149086327
2020-02-06,1262198.5310671916,1265093.4905124784
2020-02-07,1248644.2946504112,1258260.9056878972
2020-02-10,1258951.5962065882,1267479.4256253086
2020-02-11,1267536.7288705525,1269619.5298472673
2020-02-12,1273744.0896828752,1277824.6320152502
2020-02-13,1274559.7411220518,1275741.2082916
2020-02-14,1282321.5568103767,1278093.079717336
2020-02-18,1276276.2363463389,1274361.121239955
2020-02-19,1284284.7239658914,1280357.9918117912
2020-02-20,1278330.6864444262,1275472.7605895142
2020-02-21,1265691.4325812575,1262057.206685345
2020-02-24,1226169.3694734112,1219761.0926227653
