,account_value,date,daily_return
324,1118552.9820202498,2019-07-18,0.0035604037046415
325,1108455.328783958,2019-07-19,-0.0090274250738254
326,1111567.0248926217,2019-07-22,0.0028072363656526
327,1118172.892230824,2019-07-23,0.0059428421231193
328,1124427.277063795,2019-07-24,0.0055933969392627
329,1115345.5084308067,2019-07-25,-0.008076795021109
330,1121678.7839746492,2019-07-26,0.0056783081977465
331,1118499.1338946417,2019-07-29,-0.0028347242770702
332,1119489.1612372624,2019-07-30,0.000885139123151
333,1110979.8524569585,2019-07-31,-0.0076010640164656
334,1099109.4961154468,2019-08-01,-0.0106845829069358
335,1102628.9138483703,2019-08-02,0.0032020628930622
336,1069846.403575176,2019-08-05,-0.0297312267631162
337,1084197.4037277172,2019-08-06,0.0134140752397573
338,1087213.3538547962,2019-08-07,0.0027817352418566
339,1107503.1015767134,2019-08-08,0.0186621583058912
340,1097924.3783881357,2019-08-09,-0.0086489357681625
341,1086190.6595153732,2019-08-12,-0.0106871831099959
342,1096197.7800375652,2019-08-13,0.0092130423278145
343,1068419.1361418655,2019-08-14,-0.0253409050826098
344,1074889.4919090346,2019-08-15,0.0060560088716998
345,1086817.2141344887,2019-08-16,0.0110966962792335
346,1097585.2324845025,2019-08-19,0.0099078467013324
347,1091468.230569658,2019-08-20,-0.0055731452408465
348,1100632.5146978854,2019-08-21,0.0083962903102037
349,1099534.6453416003,2019-08-22,-0.0009974894813883
350,1075874.1494147356,2019-08-23,-0.0215186452078678
351,1085980.9660607355,2019-08-26,0.0093940510156302
352,1082278.5833640536,2019-08-27,-0.0034092519228139
353,1092684.9541878118,2019-08-28,0.0096152423079574
354,1105643.5875199584,2019-08-29,0.0118594415366308
355,1108826.507034812,2019-08-30,0.0028787934473468
356,1106769.873519207,2019-09-03,-0.0018547838661476
357,1116904.7119294032,2019-09-04,0.0091571325283461
358,1126314.7610710373,2019-09-05,0.0084251136566328
359,1130206.810916317,2019-09-06,0.0034555614290081
360,1125590.299984167,2019-09-09,-0.0040846603361087
361,1122239.5383076554,2019-09-10,-0.0029768928148713
362,1129219.5376422673,2019-09-11,0.0062197054161341
363,1129379.4873243752,2019-09-12,0.0001416462227015
364,1125343.442756971,2019-09-13,-0.003573683259438
365,1124509.616218794,2019-09-16,-0.0007409529451156
366,1132420.0029433174,2019-09-17,0.0070345211907769
367,1132835.322142847,2019-09-18,0.0003667536765954
368,1132561.0624641972,2019-09-19,-0.0002421002181774
369,1132996.2054175292,2019-09-20,0.0003842114723469
370,1133302.5633707717,2019-09-23,0.0002703962747425
371,1127354.9083897793,2019-09-24,-0.0052480733505995
372,1131292.436795314,2019-09-25,0.0034927141188916
373,1132245.0825869075,2019-09-26,0.0008420862374824
374,1123924.8582656872,2019-09-27,-0.0073484305201931
375,1131214.4269772484,2019-09-30,0.0064858150061826
376,1113746.5352851746,2019-10-01,-0.0154417158016187
377,1103780.045414571,2019-10-02,-0.0089486158249207
378,1112017.4393736164,2019-10-03,
379,1126437.3441493465,2019-10-04,0.0129673369006269
380,1122670.073042226,2019-10-07,-0.0033444124759245
381,1104599.385337537,2019-10-08,-0.0160961694255561
382,1116816.6726228574,2019-10-09,0.0110603784933187
383,1121745.905294618,2019-10-10,0.0044136453122463
384,1134088.9738598033,2019-10-11,0.0110034442799624
385,1130687.7033655406,2019-10-14,-0.0029991213852355
386,1143363.15366385,2019-10-15,0.0112103901551068
387,1138595.476520753,2019-10-16,-0.004169871250284
388,1148667.9123537303,2019-10-17,0.0088463690930478
389,1148881.7058145762,2019-10-18,0.0001861229503727
390,1158007.8541643382,2019-10-21,0.0079435056747565
391,1148973.8131792308,2019-10-22,-0.0078013641726348
