,date,account_value
174,2018-09-11,1066453.681285855
175,2018-09-12,1062379.4799023538
176,2018-09-13,1068686.1333385378
177,2018-09-14,1069883.3973278643
178,2018-09-17,1066528.2173511263
179,2018-09-18,1068374.9326309229
180,2018-09-19,1066398.9759216944
181,2018-09-20,1071052.7676615627
182,2018-09-21,1072332.6186098964
183,2018-09-24,1062418.8458246524
184,2018-09-25,1057406.896232947
185,2018-09-26,1052102.1201885724
186,2018-09-27,1054145.1329277207
187,2018-09-28,1060546.8350225235
188,2018-10-01,1062142.7771817413
189,2018-10-02,1062808.2502819402
190,2018-10-03,1064455.6873068921
191,2018-10-04,1053557.587143046
192,2018-10-05,1048305.1979352157
193,2018-10-08,1048666.3323301894
194,2018-10-09,1036119.4892510764
195,2018-10-10,1006946.2655151983
196,2018-10-11,983500.1323752161
197,2018-10-12,998537.2039207255
198,2018-10-15,997540.8300409839
199,2018-10-16,1023061.8797433726
200,2018-10-17,1022020.9110574824
201,2018-10-18,1013454.8768331858
202,2018-10-19,1014557.9071961647
203,2018-10-22,1007851.5555665414
204,2018-10-23,1003353.2112065236
205,2018-10-24,967905.9498229777
206,2018-10-25,983763.5353778121
207,2018-10-26,982779.7811787097
208,2018-10-29,982082.204881251
209,2018-10-30,989580.2035418983
210,2018-10-31,996128.2813069825
211,2018-11-01,1004249.4697466674
212,2018-11-02,1008365.1777436796
213,2018-11-05,1007395.1671182265
214,2018-11-06,1008244.2061674682
215,2018-11-07,1017716.3923304721
216,2018-11-08,1018045.7598459321
217,2018-11-09,1012157.2282803908
218,2018-11-12,992416.8037110654
219,2018-11-13,997853.985610777
220,2018-11-14,992456.2967325384
221,2018-11-15,1004829.3349208871
222,2018-11-16,1005497.4944919341
223,2018-11-19,984851.5956051466
224,2018-11-20,972020.3533493626
225,2018-11-21,974935.9141955321
226,2018-11-23,976484.1746520054
227,2018-11-26,990550.9278176777
228,2018-11-27,995192.8051696197
229,2018-11-28,1023810.2497630827
230,2018-11-29,1021967.2686891691
231,2018-11-30,1032370.2292895567
232,2018-12-03,1041964.5592715475
233,2018-12-04,1004610.2326630652
234,2018-12-06,1003630.6792326481
235,2018-12-07,970296.5317593701
236,2018-12-10,964860.1934508088
237,2018-12-11,963356.6247643273
238,2018-12-12,968702.2433611824
239,2018-12-13,969111.2849520552
240,2018-12-14,947383.9281423351
241,2018-12-17,927707.9711394456
242,2018-12-18,924073.2410512535
243,2018-12-19,899873.1603568146
244,2018-12-20,878025.409810819
245,2018-12-21,862418.3174111379
246,2018-12-24,839732.3002725298
247,2018-12-26,877596.8283667471
248,2018-12-27,887170.7547558043
249,2018-12-28,886968.5924385434
250,2018-12-31,895142.2846078932
251,2019-01-02,887381.7299501575
252,2019-01-03,863386.4128609669
253,2019-01-04,885844.8392224
254,2019-01-07,891798.5419640229
255,2019-01-08,899655.0806812928
256,2019-01-09,907556.4897617982
257,2019-01-10,913510.2283472321
258,2019-01-11,918079.2382753136
259,2019-01-14,916298.9576227533
260,2019-01-15,933187.062239426
261,2019-01-16,941010.9133363726
262,2019-01-17,945455.560625271
263,2019-01-18,962500.9424322053
264,2019-01-22,954529.4979188415
265,2019-01-23,952491.630834079
266,2019-01-24,963896.3615436234
267,2019-01-25,973183.5147251876
268,2019-01-28,963858.0357143529
269,2019-01-29,967472.3154304181
270,2019-01-30,978596.5286948836
271,2019-01-31,981050.8892334024
272,2019-02-01,980563.1926105539
273,2019-02-04,984888.5601084178
274,2019-02-05,983533.8595465892
275,2019-02-06,989397.8098162883
276,2019-02-07,984117.6013192409
277,2019-02-08,968911.1498908275
278,2019-02-11,962916.4302396053
279,2019-02-12,983761.3465651744
280,2019-02-13,987413.7727364772
281,2019-02-14,988096.6574582332
282,2019-02-15,1000620.8060292476
283,2019-02-19,1001604.3611916773
284,2019-02-20,998818.6847218744
285,2019-02-21,991025.0860356564
286,2019-02-22,994420.4642991298
287,2019-02-25,991519.5150231593
288,2019-02-26,987422.8578461879
289,2019-02-27,965220.356408047
290,2019-02-28,952173.8334101909
291,2019-03-01,954886.6023415797
292,2019-03-04,934259.2194041483
293,2019-03-05,938279.9346131557
294,2019-03-06,926267.758130955
295,2019-03-07,915382.6350669138
296,2019-03-08,917907.5726355785
297,2019-03-11,936500.6039847606
298,2019-03-12,944378.2780474895
299,2019-03-13,959504.2900046579
300,2019-03-14,961354.6235074275
301,2019-03-15,958843.8484181636
302,2019-03-18,967669.4626960033
303,2019-03-19,972408.922808575
304,2019-03-20,953239.3405703777
305,2019-03-21,968592.2052840465
306,2019-03-22,946318.0819347346
307,2019-03-25,943280.5397756541
308,2019-03-26,943218.0028388941
309,2019-03-27,941492.2814033473
310,2019-03-28,944836.8509948695
311,2019-03-29,959921.2985866511
312,2019-04-01,964628.1764934504
313,2019-04-02,952518.6555707896
314,2019-04-03,958593.7941863978
315,2019-04-04,961076.8117018082
316,2019-04-05,968511.0180361683
317,2019-04-08,968996.0908262846
318,2019-04-09,963888.8689801447
319,2019-04-10,963540.0693871729
320,2019-04-11,944100.002242779
321,2019-04-12,928144.3402422564
322,2019-04-15,939283.7108863642
323,2019-04-16,928164.3744701197
324,2019-04-17,921784.2021163752
325,2019-04-18,931731.5633624842
326,2019-04-22,938380.4895480921
327,2019-04-23,944965.3219627192
328,2019-04-24,945477.4672416499
329,2019-04-25,939961.3834556391
330,2019-04-26,949334.7730430415
331,2019-04-29,953794.2995704464
332,2019-04-30,950129.8849624445
333,2019-05-01,942609.6519111445
334,2019-05-02,947480.699642544
335,2019-05-03,948955.8981097987
336,2019-05-06,957795.7672561457
